Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Aishwarya,2006-09-15,Kannada,Upendra,Deepika Padukone,Rajesh Ramanathan,"Abhishek's been betrayed in love, and doesn't like girls. Aishwarya walks into his life and love starts to blossom, which is forever.",5.0,0.629
Mungaru Male,2006-12-15,Kannada,Anant Nag,Pooja Gandhi,Mano Murthy,"Preetham loves Nandhini, whose marriage is already fixed. He feels bad and leaves the place. Nandini challenges him to win her heart. Preetham accepts the challenge.",7.3,0.426
Ajay,2006-05-04,Kannada,Puneeth Rajkumar,Anuradha Mehta,Mani Sharma,"Ajay hides Paddu in his house without the knowledge of his father, trying to send her to Australia as she has a passport and a VISA. There is triumph everywhere for Ajay, a settled profession, a beautiful wife and defeat of his opponent Prakash Raj and his team.",6.0,0.2754
Thavarina Siri,2006-05-19,Kannada,Shivaraj Kumar,Daisy Bopanna,Hamsalekha,Thavarina siri tells the brother and sister love.Mutthanna (Shivarajkumar) brings up his three sisters after his parents,0.0,0.2038
Tananam Tananam,2006-11-24,Kannada,Shaam,Divya Spandana,K Kalyan,"Tananam Tananam (Kannada: ತನನಂ ತನನಂ) is a 2006 Indian Kannada romantic musical drama film directed and written by Kavitha Lankesh. The film introduces Shaam, a Tamil actor, to Kannada cinema along with Ramya and Rakshita teaming up together for the first time, in the lead roles. The film was produced by N. M. Suresh and based on a Tamil short story written by Kalki. The film released on 24 November 2006. The film won two Filmfare Awards in Best Actress and Best Lyricist categories. Noted violinist L. Subramaniam was roped in to play violin bits in the film.",0.0,0.2536
My Autograph,2006-02-17,Kannada,Sudeep,Meena,Bharathwaj,"The story revolves around Shankar, working in an advertising agency who comes to his village to invite his friends to his marriage. He remembers the good old days and also sees how his friends are faring now. All this is told in flashback.",6.5,0.2459
Ravi Shastry,2006-09-28,Kannada,V. Ravichandran,Sneha,Rajesh Ramanathan,"Ravi Shastry, a barber's son, pretends to be a Brahmin to secure a livelihood. His wedding to Bhanu, the Brahmin community head's daughter, is stalled when his bluff is called.",0.0,0.2162
Ganda Hendathi,2006-06-27,Kannada,Tilak Shekar,Sanjjanaa Galrani,Gurukiran,,2.0,0.2122
Naayi Neralu,2006-04-01,Kannada,Ashwin Bolar,Pavitra Lokesh,Isaac Thomas Kottukappally,"A widow meets a young man who claims to be her husband, reincarnated.",5.0,0.2152
Tenali Rama,2006-12-07,Kannada,Ramesh Aravind,Umashree,R. P. Patnaik,Tenali Rama is the comedy film with funny dialogs.Ramesh Arvind is a B.Com graduate and Jaggesh is an S.S.L.C holder and both of them are searching the job but a fake employment agent tells them that he will take them to Dubai.,0.0,0.1071
Chellata,2006-04-21,Kannada,Ganesh,Rekha Vedavyas,Gurukiran,A poor orphan falls in love with a wealthy industrialist.,0.0,0.1459
Sevanthi Sevanthi,2006-04-14,Kannada,Vijay Raghavendra,Divya Spandana,S.A. Rajkumar,"Singer Devu attracts the attention of the lovely Sevanthi with his beautiful voice, but he misreads her appreciation as love and pursues her with purpose, only to see his world shatter when he learns she's engaged to married. The love-struck Devu then decides he will stop at nothing to prevent the wedding in this Kannada-language treat, featuring the songs ""Chellidaru Malligeya,"" ""Jaaji,"" ""Bhaggada Balegara,"" ""Mayadhanta"" and ""Namliyetanada.""",0.0,0.0781
