Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Vikram,02-06-2022,Tamil,Kamal Haasan,Vasanthi Guru,Anirudh Ravichander,"Amar is assigned to investigate a case of serial killings. When Amar investigates the case, he realizes it is not what it seems to be and following down this path will lead to nothing but war between everyone involved.",7.685,2.8403
1945,07-01-2022,Tamil,Rana Daggubati,Regina Cassandra,Yuvan Shankar Raja,"Set in Burma in the year 1945, Netaji Subhash Chandra Bose plans to launch the INA to fight the British. This is also the time when Adi comes back to Burma to take care of his family business. Upon his arrival, he gets engaged to a British Tasildar’s daughter. Just as he is set to get married, the atrocities of the British keep growing and Adi is forced to fight the British.",5.5,2.357
Love Today,04-11-2022,Tamil,Pradeep Ranganathan,Ivana,Yuvan Shankar Raja,A young couple is made to exchange their phones for a day. What follows is a hilarious and emotional sequence of events that puts their lives in misery.,6.938,2.2307
Manmatha Leelai,01-04-2022,Tamil,Ashok Selvan,Smruthi Venkat,Premji Amaran,Two one-night stands in the life of a man that happen 10 years apart seem to mirror each other. Is there something more to them than what meets our eyes?,4.6,1.0212
Ponniyin Selvan: Part I,30-09-2022,Tamil,Vikram,Aishwarya Rai Bachchan,S. Sivakumar,"The Chola kingdom is under threat from forces both internal and external, and with crown prince Aaditha Karikalan, his younger brother Arunmozhi Varman and the emperor, Sundara Cholar separated by situations, it is up to a messenger to ensure the safety of the kingdom. Can he succeed in his mission, especially with Karikalan's former girlfriend, Nandhini, plotting to bring down the entire Chola empire?",7.128,2.4106
Mahaan,10-02-2022,Tamil,Vikram,Simran,Santhosh Narayanan,"A man's family leaves him when he strays from the path of ideological living in his search for personal freedom. However, as he realizes his ambitions, he also misses the presence of his son in his life. Having fulfilled his dream of becoming a billionaire, does life give him a second chance to be a father?",6.757,1.9789
DSP,02-12-2022,Tamil,Vijay Sethupathi,Anukreethy Vas,D. Imman,"A flower seller's son ends up in a tussle with a ruthless rowdy in Dindigul, forcing him to become a policeman and fight the odds.",6.315,1.2314
Natchathiram Nagargiradhu,31-08-2022,Tamil,Kalaiyarasan,Dushara Vijayan,Tenma,"Love and politics collide when modern day individuals working as theatre artists in fall in love while making a play about love. They realize that it's the social structure that determines their values and thoughts, and for their love to succeed, they have to go against it.",6.9,1.1587
Thiruchitrambalam,18-08-2022,Tamil,Dhanush,Nithya Menen,Anirudh Ravichander,A guy-next-door tries to find romance in his life while also dealing with his personal problems. How long will it be before he realises what he is looking for is right next to him?,7.4,1.4751
Beast,12-04-2022,Tamil,Vijay,Pooja Hegde,Anirudh Ravichander,"A former RAW officer, who is among the hostages in a mall taken over by terrorists, has to foil their plans and prevent the government from releasing a dreaded terrorist, who he had helped put in prison at great personal cost.",5.4,1.963
